,lon,lat,station_info
187,-70.4661167,41.6001611,413601070275800
188,-70.15388889,41.75194444,414507070091400
189,-70.1822222,42.0497222,420259070105600
190,-71.4450575,41.75093399,01116500
191,-71.4445016,41.6412122,01117000
192,-71.8331247,41.38371065,01118500
193,-71.8583333,41.31055556,411838071513000
194,-71.96062898,41.39482097,01118700
195,-72.3843667,41.3514833,01194750
196,-72.3459166,41.3125983,01194796
197,-73.5636111,40.8875,01303000
198,-73.4635556,40.85716667,01303500
199,-73.2241667,40.84944444,01304000
200,-72.6869444,40.91369444,01304500
201,-72.90613889,40.83016667,01305000
202,-72.9938333,40.76725,01305500
203,-73.1586111,40.77194444,01306460
204,-73.31388889,40.70416667,01308000
205,-73.3288056,40.7089722,01308500
206,-73.4547222,40.68888889,01309500
207,-73.5158611,40.67866667,01309950
208,-73.513,40.6801111,01309990
209,-73.5700833,40.66563889,01310500
210,-73.70452778,40.66380556,01311500
211,-74.0266667,40.9483333,01378500
212,-74.41277778,40.48305556,01405030
213,-74.3905556,40.38944444,01405400
214,-74.34888889,40.415,01406050
215,-74.1155556,40.3197222,01407500
216,-74.07,40.1986111,01407705
217,-74.1222222,40.14666667,01408029
218,-74.1525,40.09166667,01408120
219,-74.2233333,39.98638889,01408500
220,-74.1135833,39.924,01408753
221,-74.1905556,39.87916667,01408900
222,-74.32027778,39.66666667,01409280
223,-74.665,39.67444444,01409400
224,-74.5480556,39.68805556,01409810
225,-74.5234444,39.66394444,01410000
226,-74.44138889,39.62305556,01410150
227,-74.5205556,39.43027778,01410500
228,-74.8205556,39.30694444,01411300
229,-74.9447222,39.37305556,01412080
230,-74.8680556,40.295,01462500
231,-74.7780556,40.22166667,01463500
232,-75.0011111,39.94166667,01467081
233,-75.02138889,39.90305556,01467150
234,-75.2591667,39.74055556,01477120
235,-75.67502778,39.6992222,01479000
236,-75.6399444,39.71575,01480015
237,-75.64577778,39.70594444,01480025
238,-75.5868611,39.65138889,01482170
239,-75.58688889,39.65144444,01482220
240,-75.6188611,39.55405556,01482695
241,-75.66938889,39.36627778,01483200
242,-75.4588333,39.13655556,01483625
243,-75.5190833,39.1637222,01483700
244,-75.4583056,39.0105,01484080
245,-75.3976111,39.05830556,01484085
246,-75.29102778,38.59455556,01484525
247,-75.13338889,38.52144444,01484695
248,-75.5618611,38.7283333,01487000
249,-74.9851694,40.05705567,01465798
250,-75.1373987,39.95400165,01467200
251,-75.2376361,39.9327861,01475548
252,-75.25527778,39.8986111,01475553
253,-75.21238889,38.4093333,0148471320
254,-75.3244444,38.38888889,01485000
255,-75.4714444,38.22891667,01485500
256,-75.67138889,38.21388889,01486000
257,-75.8799167,38.51166667,01490000
258,-75.7858056,38.99719444,01491000
259,-75.9430556,38.96680556,01491500
260,-76.0895833,39.53775,01580620
261,-76.42777778,39.33227778,01585175
