,lon,lat,station_info
1,199.496,55.332,9459450
2,197.6741,55.06,9459881
3,183.382,51.861,9461380
4,185.827,52.222,9461710
5,191.129,52.941,9462450
6,193.46,53.879,9462620
7,189.715,57.125,9464212
8,199.197,63.871,9468333
9,194.535,64.495,9468756
10,182.532,57.034,46035
11,175.261,55.05,46070
12,179.764,51.04,46071
13,187.855,51.645,46072
14,187.988,55.008,46073
15,199.206,53.969,46075
16,194.521,64.474,46265
17,194.521,64.474,46265
